,"100, 1","1000, 1","1000, 0.8","100, 0.8"
1,32.428,2.6403,2.6441,32.957
2,24.848,4.6065,5.2505,23.524
3,21.16,6.2517,8.451,20.078
4,18.588,7.6439,11.833,19.056
5,16.989,8.7298,14.702,19.154
6,16.001,9.6264,17.091,19.877
7,14.778,10.552,19.244,20.684
8,14.548,10.741,20.712,21.336
9,13.777,11.143,21.848,22.5
11,13.51,11.241,22.911,23.312
12,13.434,11.442,23.677,23.787
13,13.132,11.767,24.496,24.063
14,12.984,12.215,24.849,24.652
15,12.865,12.469,25.042,24.725
16,12.738,12.363,25.089,24.743
17,12.514,12.491,25.508,25.168
18,12.43,12.16,25.492,24.848
19,12.268,12.441,25.562,25.065
20,12.293,12.862,25.691,25.264
21,12.273,12.524,25.634,25.297
22,12.397,12.557,25.727,25.369
23,12.446,12.46,25.586,25.378
24,12.362,12.283,25.471,25.619
25,12.304,12.131,25.419,25.581
26,12.561,11.962,25.603,25.375
27,12.27,12.345,25.447,25.311
28,12.364,12.294,25.621,25.394
29,12.269,12.204,25.765,25.289
30,12.425,12.1,25.501,25.471
31,12.122,11.661,25.869,25.428
32,12.153,11.755,25.859,25.57
33,11.945,11.94,25.778,25.677
34,12.177,11.992,25.857,25.455
35,12.209,12.023,25.74,25.347
36,12.289,12.194,25.87,25.127
37,12.138,12.139,25.855,25.127
38,12.265,12.131,25.805,25.001
39,12.498,12.057,25.681,25.04
40,12.482,11.972,25.737,25.184
41,12.441,11.929,25.798,25.268
42,12.375,12.167,25.699,25.483
43,12.13,12.304,25.759,25.664
44,12.402,12.041,25.759,25.669
45,12.575,11.879,25.711,25.446
46,12.691,11.644,25.592,25.512
47,12.926,11.923,25.845,25.667
48,12.656,11.995,25.834,25.502
49,12.888,12.262,25.757,25.451
50,12.958,12.257,25.611,25.555
51,12.745,12.228,25.698,25.595
