environment,click,down,left,resets,right,up
S2KT7,54.22222222222222,5.111111111111111,4.888888888888889,1.5555555555555556,8.0,4.222222222222222
27VWC,80.44444444444444,1.8888888888888888,1.6666666666666667,3.3333333333333335,1.7777777777777777,1.4444444444444444
KFQYT,34.55555555555556,14.777777777777779,7.333333333333333,1.1111111111111112,7.666666666666667,14.666666666666666
B58F3,9.222222222222221,4.111111111111111,81.44444444444444,1.1111111111111112,86.0,8.11111111111111
NRDF6,40.333333333333336,2.3333333333333335,3.0,4.222222222222222,2.5555555555555554,3.4444444444444446
6JKKA,22.666666666666668,17.88888888888889,35.44444444444444,2.4444444444444446,35.666666666666664,46.77777777777778
K8MTQ,70.66666666666667,4.666666666666667,4.222222222222222,1.6666666666666667,4.444444444444445,6.444444444444445
T5F9B,71.88888888888889,3.4444444444444446,1.8888888888888888,10.88888888888889,3.0,3.6666666666666665
N59TE,43.44444444444444,3.6666666666666665,2.4444444444444446,2.0,3.111111111111111,4.333333333333333
76Z75,16.88888888888889,8.666666666666666,11.88888888888889,1.5555555555555556,12.555555555555555,7.333333333333333
NF5VZ,15.222222222222221,5.666666666666667,5.666666666666667,1.0,8.666666666666666,19.444444444444443
236VK,14.555555555555555,12.666666666666666,3.111111111111111,4.0,7.333333333333333,27.22222222222222
DQ8GC,17.666666666666668,13.88888888888889,12.333333333333334,1.6666666666666667,24.22222222222222,7.888888888888889
QM9XB,24.88888888888889,9.222222222222221,14.222222222222221,2.3333333333333335,11.555555555555555,31.77777777777778
6JVMF,11.88888888888889,13.222222222222221,14.11111111111111,2.888888888888889,12.11111111111111,17.0
27JBD,76.77777777777777,7.555555555555555,4.222222222222222,3.2222222222222223,6.777777777777778,5.666666666666667
VQJH6,26.555555555555557,3.6666666666666665,5.222222222222222,1.2222222222222223,3.888888888888889,2.6666666666666665
QQM74,13.555555555555555,14.333333333333334,9.444444444444445,3.6666666666666665,7.222222222222222,7.777777777777778
7XF97,42.333333333333336,38.44444444444444,26.444444444444443,1.8888888888888888,26.77777777777778,6.222222222222222
BT3GB,10.777777777777779,78.11111111111111,13.88888888888889,1.2222222222222223,17.666666666666668,6.777777777777778
BT2KZ,22.444444444444443,2.888888888888889,1.6666666666666667,2.7777777777777777,3.5555555555555554,2.2222222222222223
B8AKZ,43.22222222222222,11.0,18.77777777777778,1.7777777777777777,19.22222222222222,8.222222222222221
9F8AJ,68.77777777777777,5.666666666666667,9.666666666666666,4.0,8.333333333333334,7.666666666666667
4CKC2,49.22222222222222,1.7777777777777777,1.8888888888888888,3.2222222222222223,1.7777777777777777,1.8888888888888888
7WWW9,5.444444444444445,17.666666666666668,22.666666666666668,1.1111111111111112,28.11111111111111,17.0
N2NTD,9.555555555555555,2.6666666666666665,21.88888888888889,1.6666666666666667,22.0,26.444444444444443
BY2Q7,145.88888888888889,8.777777777777779,5.888888888888889,1.5555555555555556,6.777777777777778,3.2222222222222223
4T8TR,56.55555555555556,5.555555555555555,3.4444444444444446,3.888888888888889,3.888888888888889,4.111111111111111
YS322,82.66666666666667,3.7777777777777777,6.0,2.2222222222222223,3.6666666666666665,3.7777777777777777
WHGHP,6.333333333333333,29.666666666666668,40.44444444444444,1.8888888888888888,35.44444444444444,30.666666666666668
EAHCW,54.0,7.777777777777778,6.555555555555555,2.111111111111111,7.888888888888889,10.222222222222221
83WKQ,110.11111111111111,17.22222222222222,14.88888888888889,3.111111111111111,9.88888888888889,17.444444444444443
3J4Z7,44.666666666666664,3.3333333333333335,3.888888888888889,2.0,4.555555555555555,4.222222222222222
QDHS3,20.666666666666668,9.88888888888889,10.333333333333334,1.1111111111111112,11.222222222222221,10.0
VA6FQ,97.55555555555556,6.888888888888889,8.88888888888889,4.777777777777778,10.88888888888889,5.0
7VKTD,8.555555555555555,7.0,6.333333333333333,1.4444444444444444,5.666666666666667,7.111111111111111
set,151.33333333333334,8.88888888888889,10.88888888888889,3.7777777777777777,5.666666666666667,8.0
XHGKQ,2.4444444444444446,10.222222222222221,14.11111111111111,1.1111111111111112,11.11111111111111,8.777777777777779
F5W3N,5.333333333333333,3.2222222222222223,20.22222222222222,1.7777777777777777,21.555555555555557,17.666666666666668
JXQAW,52.666666666666664,3.5555555555555554,4.111111111111111,5.333333333333333,5.666666666666667,3.5555555555555554
4N7BB,42.77777777777778,1.7777777777777777,2.5555555555555554,1.4444444444444444,2.111111111111111,1.1111111111111112
NTQ4Y,75.88888888888889,2.7777777777777777,2.7777777777777777,2.7777777777777777,3.2222222222222223,3.4444444444444446
DGG2C,10.666666666666666,10.222222222222221,18.333333333333332,1.6666666666666667,13.777777777777779,13.222222222222221
