claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,oracle,qwen3-235b-a22b-thinking-2507
1.0,0.3333333333333333,0.3333333333333333,0.9505377695554537,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.0,0.0,0.0,0.7725853151070667,0.0,0.6666666666666666,0.3333333333333333
0.0,0.3333333333333333,0.3333333333333333,0.8725859711793026,0.3333333333333333,0.6666666666666666,0.0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.998842018292537,0.6666666666666666,0.3333333333333333,0.0
0.6666666666666666,0.4539119978620423,0.0,0.9960311015904162,0.20902298426146135,0.4113833645798904,0.0
0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.7188609265991887,0.3333333333333333,0.3333333333333333,0.0
0.3333333333333333,0.0,0.3333333333333333,0.9999606170167501,0.6002483635258361,0.3333333333333333,0.0
0.6666666666666666,0.6666666666666666,0.0,0.9382409280558297,0.3333333333333333,0.3333333333333333,0.75
0.0,0.3333333333333333,0.6666666666666666,0.9620878061763661,0.3333333333333333,0.0,0.0
0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.48757182363569296,0.6484133247895483,0.3333333333333333
0.0,0.6484133247895483,0.3333333333333333,0.9979954567189995,0.0,0.3996666666667373,0.31507999145621496
0.0,0.0,0.0,0.99931516347507,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.9963663941777349,0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666666,0.7777777777777778,0.7451311883623895,0.3333333333333333,0.6527799493733505
0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.9994993658072007,0.0
0.3333333333333333,0.0,0.3333333333333333,0.8885639922036059,0.6643788691737006,0.8845435107242486,0.3333333333333333
0.0,0.0,0.0,0.7705809230218211,0.0,0.6666666666666666,0.0
0.0,0.328242256699024,0.0,1.0,0.0,0.6666666666666666,0.0
0.3333333333333333,0.0,0.3333333333333333,0.8888888888888888,0.5423563175947946,0.3333333333333333,0.3333333333333333
0.0,0.33310401842170695,0.0,1.0,0.3332151843835839,0.6666666666666666,0.0
0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.0,0.6666666666666666,0.3333333333333333
0.3333333333333333,0.9987416603392204,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
0.0,0.0,0.3333333333333333,0.9998717733669655,0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.840373966112367,0.0,0.3333333333333333,0.0
0.3333333333333333,0.6594636590368107,0.3333333333333333,1.0,0.2972427218571802,0.0,0.4802611487827775
0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0
0.0,0.0,0.0,0.9904970650710518,0.0,0.0,0.0
0.0,0.0,0.0,0.8888888888888888,0.44535493843667334,0.6656079555582067,0.0
0.6666666666666666,0.2972427218571802,0.3333333333333333,0.9983612856467059,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.0,0.0,0.3333333333333333,0.9772812759487137,0.6557658491998716,0.6666666666666666,0.0
0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
0.0,0.0,0.3333333333333333,0.7777777777777778,0.0,0.6666666666666666,0.0
0.3333333333333333,0.0,0.3333333333333333,1.0,0.5014176762943389,0.6663300877626716,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.0,1.0,0.11822240805227417,0.3333333333333333,0.0
0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.0,0.9286043104086692,0.0,0.3333333333333333,0.0
0.3333333333333333,0.5423563175947946,0.0,1.0,0.6557658491998716,0.0,0.32243251586653826
0.6666666666666666,0.6484133247895483,0.6666666666666666,0.9726517754407915,0.9204183400127818,0.6666666666666666,0.3333333333333333
0.0,0.0,0.0,0.7706416310635511,0.0,0.3333333333333333,0.0
0.3333333333333333,0.32955907666758755,0.3333333333333333,0.9842898605538242,0.3333333333333333,0.6666666666666666,0.3333333333333333
