,n0=2000,n0=3000
1,2.42940092086792,1.29084169864655
2,1.65960621833801,1.10173308849335
3,1.52984309196472,1.23383975028992
4,1.40082478523254,1.21775245666504
5,1.462806224823,1.45252788066864
6,1.44733333587646,1.42697656154633
7,1.36824893951416,1.25327515602112
8,1.33212268352509,1.40885710716248
9,1.40470063686371,1.34286284446716
10,1.36910927295685,1.36500787734985
11,1.45038604736328,1.30803871154785
12,1.51087546348572,1.35101771354675
13,1.48559820652008,1.33627438545227
14,1.47114706039429,1.34310412406921
15,1.44380927085876,1.26162612438202
16,1.44519019126892,1.36177361011505
