environment,claude-4-sonnet,gemini-2.5-pro,human,o3
S2KT7,24.0,59.0,701.0,47.0
27VWC,57.0,58.0,788.0,79.0
KFQYT,23.0,175.0,829.0,60.0
B58F3,168.0,64.0,1676.0,42.0
NRDF6,112.0,343.0,428.0,59.0
6JKKA,61.0,159.0,1621.0,41.0
K8MTQ,80.0,44.0,840.0,34.0
T5F9B,93.0,269.0,843.0,88.0
N59TE,43.0,285.0,449.0,103.0
76Z75,171.0,193.0,433.0,107.0
NF5VZ,117.0,240.0,869.0,43.0
236VK,46.0,46.0,538.0,37.0
DQ8GC,46.0,50.0,853.0,35.0
QM9XB,160.0,275.0,897.0,57.0
6JVMF,80.0,76.0,588.0,31.0
27JBD,138.0,64.0,672.0,44.0
VQJH6,87.0,180.0,505.0,58.0
QQM74,84.0,52.0,438.0,43.0
7XF97,175.0,400.0,1346.0,63.0
BT3GB,35.0,51.0,1216.0,42.0
BT2KZ,25.0,51.0,358.0,28.0
B8AKZ,43.0,289.0,999.0,73.0
9F8AJ,62.0,544.0,1123.0,23.0
4CKC2,54.0,109.0,492.0,35.0
7WWW9,138.0,166.0,1030.0,63.0
N2NTD,118.0,43.0,848.0,46.0
BY2Q7,19.0,381.0,1771.0,82.0
4T8TR,25.0,38.0,577.0,46.0
YS322,59.0,220.0,840.0,50.0
WHGHP,155.0,144.0,816.0,79.0
EAHCW,62.0,108.0,1184.0,66.0
83WKQ,57.0,90.0,1637.0,90.0
3J4Z7,122.0,39.0,638.0,68.0
QDHS3,127.0,18.0,722.0,26.0
VA6FQ,96.0,50.0,1023.0,79.0
7VKTD,233.0,146.0,397.0,39.0
set,32.0,30.0,1773.0,35.0
XHGKQ,42.0,81.0,595.0,73.0
F5W3N,70.0,233.0,678.0,20.0
JXQAW,92.0,177.0,696.0,133.0
4N7BB,43.0,53.0,509.0,38.0
NTQ4Y,57.0,49.0,949.0,47.0
DGG2C,72.0,43.0,879.0,41.0
