environment,claude-4-sonnet,gemini-2.5-flash,gemini-2.5-pro,human,o3,qwen3-235b-a22b-thinking-2507
S2KT7,0.0,2.3333333333333335,1.3333333333333333,1.5555555555555556,1.6666666666666667,1.3333333333333333
27VWC,0.0,2.6666666666666665,0.0,3.3333333333333335,1.3333333333333333,1.3333333333333333
KFQYT,0.0,1.6666666666666667,3.3333333333333335,1.1111111111111112,2.0,0.6666666666666666
B58F3,0.0,3.6666666666666665,0.0,1.1111111111111112,1.3333333333333333,0.5
NRDF6,0.0,1.3333333333333333,22.0,4.222222222222222,4.666666666666667,0.3333333333333333
6JKKA,1.0,0.6666666666666666,9.0,2.4444444444444446,1.3333333333333333,1.0
K8MTQ,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666
T5F9B,2.6666666666666665,3.6666666666666665,15.666666666666666,10.88888888888889,4.0,2.3333333333333335
N59TE,0.0,1.6666666666666667,1.6666666666666667,2.0,4.0,0.0
76Z75,3.0,3.0,14.0,1.5555555555555556,10.0,0.75
NF5VZ,0.3333333333333333,3.3333333333333335,0.3333333333333333,1.0,1.0,1.0
236VK,0.0,0.3333333333333333,0.0,4.0,0.6666666666666666,0.0
DQ8GC,0.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,1.0
QM9XB,0.0,0.3333333333333333,3.0,2.3333333333333335,0.3333333333333333,0.6666666666666666
6JVMF,0.0,3.3333333333333335,1.6666666666666667,2.888888888888889,1.0,0.3333333333333333
27JBD,0.6666666666666666,0.6666666666666666,1.6666666666666667,3.2222222222222223,0.0,0.3333333333333333
VQJH6,0.0,1.0,6.333333333333333,1.2222222222222223,2.0,0.6666666666666666
QQM74,0.0,5.0,0.3333333333333333,3.6666666666666665,1.3333333333333333,0.0
7XF97,2.0,6.0,6.666666666666667,1.8888888888888888,1.3333333333333333,0.6666666666666666
BT3GB,0.0,0.0,0.3333333333333333,1.2222222222222223,0.6666666666666666,0.3333333333333333
BT2KZ,0.0,6.666666666666667,1.3333333333333333,2.7777777777777777,0.6666666666666666,1.0
B8AKZ,0.0,1.3333333333333333,1.6666666666666667,1.7777777777777777,0.3333333333333333,0.6666666666666666
9F8AJ,0.0,2.3333333333333335,18.0,4.0,0.3333333333333333,1.6666666666666667
4CKC2,0.0,0.6666666666666666,6.0,3.2222222222222223,0.6666666666666666,0.6666666666666666
7WWW9,0.0,2.6666666666666665,0.6666666666666666,1.1111111111111112,1.0,0.0
N2NTD,0.0,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,2.0
BY2Q7,0.0,3.0,22.666666666666668,1.5555555555555556,0.6666666666666666,2.3333333333333335
4T8TR,0.6666666666666666,1.6666666666666667,2.0,3.888888888888889,2.0,1.0
YS322,0.0,2.3333333333333335,11.0,2.2222222222222223,0.0,1.0
WHGHP,0.0,1.6666666666666667,2.3333333333333335,1.8888888888888888,5.666666666666667,0.6666666666666666
EAHCW,0.0,1.0,3.3333333333333335,2.111111111111111,0.3333333333333333,1.3333333333333333
83WKQ,0.0,8.0,2.3333333333333335,3.111111111111111,4.0,0.3333333333333333
3J4Z7,0.3333333333333333,2.0,1.3333333333333333,2.0,3.6666666666666665,1.0
QDHS3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1111111111111112,0.3333333333333333,0.6666666666666666
VA6FQ,0.0,7.666666666666667,1.3333333333333333,4.777777777777778,3.0,4.0
7VKTD,0.0,0.6666666666666666,1.0,1.4444444444444444,0.0,0.0
set,0.0,1.3333333333333333,0.0,3.7777777777777777,0.3333333333333333,0.6666666666666666
XHGKQ,0.0,0.6666666666666666,0.3333333333333333,1.1111111111111112,2.3333333333333335,0.0
F5W3N,0.0,0.0,1.0,1.7777777777777777,0.3333333333333333,0.0
JXQAW,1.3333333333333333,0.0,4.666666666666667,5.333333333333333,7.666666666666667,2.6666666666666665
4N7BB,0.0,1.6666666666666667,0.6666666666666666,1.4444444444444444,0.6666666666666666,0.3333333333333333
NTQ4Y,0.6666666666666666,0.0,1.0,2.7777777777777777,1.0,0.6666666666666666
DGG2C,0.0,8.333333333333334,0.0,1.6666666666666667,0.6666666666666666,0.0
