source,feature,beta
claude-4-sonnet,program_length,0.2698137374654394
claude-4-sonnet,grid_size,0.16353408421245108
claude-4-sonnet,num_latent_vars,-0.2351004295698973
claude-4-sonnet,num_on_clauses,-0.33579709231826554
claude-4-sonnet,num_obj_defn,-0.11709296305892364
claude-4-sonnet,num_unique_colors,0.0161416752262748
claude-4-sonnet,num_fn_defns,-0.07240825671823617
gemini-2.5-flash,program_length,-0.0712380481305617
gemini-2.5-flash,grid_size,-0.17412717279355241
gemini-2.5-flash,num_latent_vars,-0.13659852479058882
gemini-2.5-flash,num_on_clauses,0.12684600987441563
gemini-2.5-flash,num_obj_defn,-0.2117519221020423
gemini-2.5-flash,num_unique_colors,-0.015135519019944612
gemini-2.5-flash,num_fn_defns,0.0707433653594191
gemini-2.5-pro,program_length,0.08907028893901624
gemini-2.5-pro,grid_size,-0.002218692154793073
gemini-2.5-pro,num_latent_vars,-0.04181814326737295
gemini-2.5-pro,num_on_clauses,-0.11785112123514123
gemini-2.5-pro,num_obj_defn,-0.11688376649703282
gemini-2.5-pro,num_unique_colors,-0.074226736440701
gemini-2.5-pro,num_fn_defns,-0.05155979880265459
human,program_length,0.14389650677556245
human,grid_size,-0.024127976789070048
human,num_latent_vars,0.05236001095657031
human,num_on_clauses,-0.041857213064921094
human,num_obj_defn,-0.15003630274932994
human,num_unique_colors,-0.1289078428329478
human,num_fn_defns,0.04726772930937406
o3,program_length,-0.10615084684069305
o3,grid_size,-0.09003459534250069
o3,num_latent_vars,0.09495418094527887
o3,num_on_clauses,0.05366576840009131
o3,num_obj_defn,-0.2668106803369973
o3,num_unique_colors,-0.07444631340732921
o3,num_fn_defns,0.18076403960811496
oracle,program_length,-0.052331505751725925
oracle,grid_size,0.0744016793329062
oracle,num_latent_vars,0.05814549736466787
oracle,num_on_clauses,0.045275397287505036
oracle,num_obj_defn,-0.11481597679727973
oracle,num_unique_colors,0.028427749878930642
oracle,num_fn_defns,-0.09200871399997876
qwen3-235b-a22b-thinking-2507,program_length,0.039483432220938745
qwen3-235b-a22b-thinking-2507,grid_size,0.07628927686736049
qwen3-235b-a22b-thinking-2507,num_latent_vars,-0.06869719293550922
qwen3-235b-a22b-thinking-2507,num_on_clauses,-0.13371204062988895
qwen3-235b-a22b-thinking-2507,num_obj_defn,-0.12161573529852449
qwen3-235b-a22b-thinking-2507,num_unique_colors,-0.12490063635527054
qwen3-235b-a22b-thinking-2507,num_fn_defns,0.062107330039470186
